date,uniquekey,Complaint Type
10/19/2020,118,Noise - Commercial
10/18/2020,118,Noise
10/18/2020,106,Noise - Helicopter
10/18/2020,942,Noise - Street/Sidewalk
10/18/2020,68,Noise - Park
10/18/2020,293,Noise - Commercial
10/18/2020,5,Noise - House of Worship
10/18/2020,1759,Noise - Residential
10/18/2020,283,Noise - Vehicle
10/17/2020,2125,Noise - Residential
10/17/2020,237,Noise - Vehicle
10/17/2020,612,Noise - Street/Sidewalk
10/17/2020,72,Noise - Helicopter
10/17/2020,146,Noise
10/17/2020,24,Noise - Park
10/17/2020,266,Noise - Commercial
10/17/2020,2,Noise - House of Worship
10/16/2020,2,Noise - House of Worship
10/16/2020,116,Noise - Commercial
10/16/2020,4,Noise - Park
10/16/2020,126,Noise
10/16/2020,307,Noise - Street/Sidewalk
10/16/2020,165,Noise - Vehicle
10/16/2020,778,Noise - Residential
10/15/2020,758,Noise - Residential
10/15/2020,241,Noise - Vehicle
10/15/2020,167,Noise - Commercial
10/15/2020,37,Noise - Park
10/15/2020,647,Noise - Street/Sidewalk
10/15/2020,189,Noise
10/15/2020,62,Noise - Helicopter
10/15/2020,2,Noise - House of Worship
10/14/2020,892,Noise - Residential
10/14/2020,236,Noise - Vehicle
10/14/2020,589,Noise - Street/Sidewalk
10/14/2020,61,Noise - Helicopter
10/14/2020,240,Noise
10/14/2020,14,Noise - Park
10/14/2020,147,Noise - Commercial
10/14/2020,1,Noise - House of Worship
10/13/2020,617,Noise - Residential
10/13/2020,191,Noise - Vehicle
10/13/2020,81,Noise - Commercial
10/13/2020,185,Noise
10/13/2020,7,Noise - Helicopter
10/13/2020,247,Noise - Street/Sidewalk
10/13/2020,4,Noise - Park
10/13/2020,2,Noise - House of Worship
10/12/2020,1,Noise - Park
10/12/2020,1,Noise - Helicopter
10/12/2020,99,Noise
10/12/2020,116,Noise - Street/Sidewalk
10/12/2020,89,Noise - Commercial
10/12/2020,137,Noise - Vehicle
10/12/2020,710,Noise - Residential
10/11/2020,5,Noise - House of Worship
10/11/2020,65,Noise - Park
10/11/2020,1073,Noise - Street/Sidewalk
10/11/2020,72,Noise
10/11/2020,75,Noise - Helicopter
10/11/2020,306,Noise - Commercial
10/11/2020,418,Noise - Vehicle
10/11/2020,2839,Noise - Residential
10/10/2020,3,Noise - House of Worship
10/10/2020,1359,Noise - Street/Sidewalk
10/10/2020,72,Noise - Helicopter
10/10/2020,119,Noise
10/10/2020,68,Noise - Park
10/10/2020,369,Noise - Commercial
10/10/2020,421,Noise - Vehicle
10/10/2020,2992,Noise - Residential
10/9/2020,275,Noise - Vehicle
10/9/2020,1289,Noise - Residential
10/9/2020,3,Noise - House of Worship
10/9/2020,270,Noise - Commercial
10/9/2020,117,Noise
10/9/2020,107,Noise - Helicopter
10/9/2020,716,Noise - Street/Sidewalk
10/9/2020,32,Noise - Park
10/8/2020,4,Noise - House of Worship
10/8/2020,168,Noise - Commercial
10/8/2020,328,Noise - Street/Sidewalk
10/8/2020,148,Noise
10/8/2020,57,Noise - Helicopter
10/8/2020,12,Noise - Park
10/8/2020,152,Noise - Vehicle
10/8/2020,878,Noise - Residential
10/7/2020,844,Noise - Residential
10/7/2020,226,Noise - Vehicle
10/7/2020,17,Noise - Park
10/7/2020,391,Noise - Street/Sidewalk
10/7/2020,36,Noise - Helicopter
10/7/2020,178,Noise
10/7/2020,111,Noise - Commercial
10/7/2020,6,Noise - House of Worship
10/6/2020,994,Noise - Residential
10/6/2020,233,Noise - Vehicle
10/6/2020,31,Noise - Park
10/6/2020,218,Noise
10/6/2020,67,Noise - Helicopter
10/6/2020,481,Noise - Street/Sidewalk
10/6/2020,99,Noise - Commercial
10/6/2020,2,Noise - House of Worship
10/5/2020,1149,Noise - Residential
10/5/2020,225,Noise - Vehicle
10/5/2020,555,Noise - Street/Sidewalk
10/5/2020,179,Noise
10/5/2020,63,Noise - Helicopter
10/5/2020,11,Noise - Park
10/5/2020,158,Noise - Commercial
10/5/2020,8,Noise - House of Worship
10/4/2020,386,Noise - Vehicle
10/4/2020,2998,Noise - Residential
10/4/2020,8,Noise - House of Worship
10/4/2020,73,Noise - Helicopter
10/4/2020,70,Noise
10/4/2020,1113,Noise - Street/Sidewalk
10/4/2020,64,Noise - Park
10/4/2020,362,Noise - Commercial
10/3/2020,82,Noise - Park
10/3/2020,127,Noise
10/3/2020,76,Noise - Helicopter
10/3/2020,1355,Noise - Street/Sidewalk
10/3/2020,433,Noise - Commercial
10/3/2020,5,Noise - House of Worship
10/3/2020,2470,Noise - Residential
10/3/2020,506,Noise - Vehicle
10/2/2020,1,Noise - House of Worship
10/2/2020,26,Noise - Park
10/2/2020,806,Noise - Street/Sidewalk
10/2/2020,155,Noise
10/2/2020,47,Noise - Helicopter
10/2/2020,266,Noise - Commercial
10/2/2020,661,Noise - Vehicle
10/2/2020,1835,Noise - Residential
10/1/2020,26,Noise - Park
10/1/2020,175,Noise
10/1/2020,15,Noise - Helicopter
10/1/2020,601,Noise - Street/Sidewalk
10/1/2020,203,Noise - Commercial
10/1/2020,1,Noise - House of Worship
10/1/2020,1167,Noise - Residential
10/1/2020,251,Noise - Vehicle
9/30/2020,264,Noise - Vehicle
9/30/2020,741,Noise - Residential
9/30/2020,182,Noise
9/30/2020,20,Noise - Helicopter
9/30/2020,499,Noise - Street/Sidewalk
9/30/2020,16,Noise - Park
9/30/2020,159,Noise - Commercial
9/29/2020,599,Noise - Residential
9/29/2020,173,Noise - Vehicle
9/29/2020,85,Noise - Commercial
9/29/2020,2,Noise - Helicopter
9/29/2020,186,Noise
9/29/2020,265,Noise - Street/Sidewalk
9/29/2020,10,Noise - Park
9/29/2020,1,Noise - House of Worship
9/28/2020,16,Noise - Park
9/28/2020,132,Noise
9/28/2020,22,Noise - Helicopter
9/28/2020,512,Noise - Street/Sidewalk
9/28/2020,105,Noise - Commercial
9/28/2020,673,Noise - Residential
9/28/2020,248,Noise - Vehicle
9/27/2020,5,Noise - House of Worship
9/27/2020,376,Noise - Commercial
9/27/2020,1458,Noise - Street/Sidewalk
9/27/2020,101,Noise
9/27/2020,55,Noise - Helicopter
9/27/2020,99,Noise - Park
9/27/2020,507,Noise - Vehicle
9/27/2020,2425,Noise - Residential
9/26/2020,2677,Noise - Residential
9/26/2020,478,Noise - Vehicle
9/26/2020,106,Noise - Park
9/26/2020,1649,Noise - Street/Sidewalk
9/26/2020,29,Noise - Helicopter
9/26/2020,133,Noise
9/26/2020,396,Noise - Commercial
9/26/2020,2,Noise - House of Worship
9/25/2020,1270,Noise - Residential
9/25/2020,366,Noise - Vehicle
9/25/2020,1013,Noise - Street/Sidewalk
9/25/2020,41,Noise - Helicopter
9/25/2020,150,Noise
9/25/2020,56,Noise - Park
9/25/2020,285,Noise - Commercial
9/24/2020,665,Noise - Street/Sidewalk
9/24/2020,180,Noise
9/24/2020,45,Noise - Helicopter
9/24/2020,32,Noise - Park
9/24/2020,239,Noise - Commercial
9/24/2020,330,Noise - Vehicle
9/24/2020,1050,Noise - Residential
9/23/2020,214,Noise - Commercial
9/23/2020,635,Noise - Street/Sidewalk
9/23/2020,74,Noise - Helicopter
9/23/2020,180,Noise
9/23/2020,34,Noise - Park
9/23/2020,5,Noise - House of Worship
9/23/2020,820,Noise - Residential
9/23/2020,330,Noise - Vehicle
9/22/2020,29,Noise - Park
9/22/2020,307,Noise - Street/Sidewalk
9/22/2020,171,Noise
9/22/2020,28,Noise - Helicopter
9/22/2020,106,Noise - Commercial
9/22/2020,7,Noise - House of Worship
9/22/2020,1145,Noise - Residential
9/22/2020,160,Noise - Vehicle
9/21/2020,3,Noise - House of Worship
9/21/2020,112,Noise - Commercial
9/21/2020,484,Noise - Street/Sidewalk
9/21/2020,173,Noise
9/21/2020,54,Noise - Helicopter
9/21/2020,22,Noise - Park
9/21/2020,513,Noise - Vehicle
9/21/2020,1654,Noise - Residential
9/20/2020,4,Noise - House of Worship
9/20/2020,357,Noise - Commercial
9/20/2020,68,Noise - Helicopter
9/20/2020,87,Noise
9/20/2020,1097,Noise - Street/Sidewalk
9/20/2020,71,Noise - Park
9/20/2020,663,Noise - Vehicle
9/20/2020,2915,Noise - Residential
9/19/2020,854,Noise - Vehicle
9/19/2020,2938,Noise - Residential
9/19/2020,4,Noise - House of Worship
9/19/2020,1,Collection Truck Noise
9/19/2020,81,Noise - Park
9/19/2020,1207,Noise - Street/Sidewalk
9/19/2020,159,Noise
9/19/2020,65,Noise - Helicopter
9/19/2020,339,Noise - Commercial
9/18/2020,1697,Noise - Residential
9/18/2020,992,Noise - Vehicle
9/18/2020,46,Noise - Park
9/18/2020,870,Noise - Street/Sidewalk
9/18/2020,58,Noise - Helicopter
9/18/2020,148,Noise
9/18/2020,238,Noise - Commercial
9/18/2020,2,Noise - House of Worship
9/17/2020,292,Noise - Vehicle
9/17/2020,2698,Noise - Residential
9/17/2020,1,Noise - House of Worship
9/17/2020,765,Noise - Street/Sidewalk
9/17/2020,190,Noise
9/17/2020,58,Noise - Helicopter
9/17/2020,36,Noise - Park
9/17/2020,204,Noise - Commercial
9/16/2020,238,Noise - Vehicle
9/16/2020,1340,Noise - Residential
9/16/2020,1,Noise - House of Worship
9/16/2020,169,Noise - Commercial
9/16/2020,537,Noise - Street/Sidewalk
9/16/2020,193,Noise
9/16/2020,23,Noise - Helicopter
9/16/2020,28,Noise - Park
9/15/2020,159,Noise - Commercial
9/15/2020,171,Noise
9/15/2020,40,Noise - Helicopter
9/15/2020,534,Noise - Street/Sidewalk
9/15/2020,18,Noise - Park
9/15/2020,1,Noise - House of Worship
9/15/2020,1123,Noise - Residential
9/15/2020,244,Noise - Vehicle
9/14/2020,1649,Noise - Residential
9/14/2020,311,Noise - Vehicle
9/14/2020,131,Noise - Commercial
9/14/2020,597,Noise - Street/Sidewalk
9/14/2020,153,Noise
9/14/2020,39,Noise - Helicopter
9/14/2020,45,Noise - Park
9/14/2020,1,Noise - House of Worship
9/13/2020,990,Noise - Vehicle
9/13/2020,3068,Noise - Residential
9/13/2020,8,Noise - House of Worship
9/13/2020,135,Noise - Park
9/13/2020,104,Noise
9/13/2020,51,Noise - Helicopter
9/13/2020,1790,Noise - Street/Sidewalk
9/13/2020,346,Noise - Commercial
9/12/2020,98,Noise - Park
9/12/2020,53,Noise - Helicopter
9/12/2020,125,Noise
9/12/2020,1635,Noise - Street/Sidewalk
9/12/2020,405,Noise - Commercial
9/12/2020,7,Noise - House of Worship
9/12/2020,2600,Noise - Residential
9/12/2020,469,Noise - Vehicle
9/11/2020,162,Noise
9/11/2020,57,Noise - Helicopter
9/11/2020,927,Noise - Street/Sidewalk
9/11/2020,35,Noise - Park
9/11/2020,263,Noise - Commercial
9/11/2020,976,Noise - Residential
9/11/2020,313,Noise - Vehicle
9/10/2020,918,Noise - Residential
9/10/2020,110,Noise - Vehicle
9/10/2020,8,Noise - Park
9/10/2020,3,Noise - Helicopter
9/10/2020,135,Noise
9/10/2020,197,Noise - Street/Sidewalk
9/10/2020,88,Noise - Commercial
9/10/2020,1,Noise - House of Worship
9/9/2020,106,Noise - Commercial
9/9/2020,30,Noise - Helicopter
9/9/2020,150,Noise
9/9/2020,503,Noise - Street/Sidewalk
9/9/2020,26,Noise - Park
9/9/2020,2,Noise - House of Worship
9/9/2020,852,Noise - Residential
9/9/2020,220,Noise - Vehicle
9/8/2020,869,Noise - Residential
9/8/2020,256,Noise - Vehicle
9/8/2020,97,Noise - Commercial
9/8/2020,35,Noise - Park
9/8/2020,654,Noise - Street/Sidewalk
9/8/2020,13,Noise - Helicopter
9/8/2020,141,Noise
9/8/2020,1,Noise - House of Worship
9/7/2020,187,Noise - Commercial
9/7/2020,1821,Noise - Street/Sidewalk
9/7/2020,40,Noise - Helicopter
9/7/2020,106,Noise
9/7/2020,140,Noise - Park
9/7/2020,1,Noise - House of Worship
9/7/2020,2812,Noise - Residential
9/7/2020,604,Noise - Vehicle
9/6/2020,2846,Noise - Residential
9/6/2020,483,Noise - Vehicle
9/6/2020,275,Noise - Commercial
9/6/2020,212,Noise - Park
9/6/2020,1987,Noise - Street/Sidewalk
9/6/2020,17,Noise - Helicopter
9/6/2020,89,Noise
9/6/2020,4,Noise - House of Worship
9/5/2020,439,Noise - Vehicle
9/5/2020,2268,Noise - Residential
9/5/2020,3,Noise - House of Worship
9/5/2020,309,Noise - Commercial
9/5/2020,135,Noise - Park
9/5/2020,1720,Noise - Street/Sidewalk
9/5/2020,97,Noise
9/5/2020,11,Noise - Helicopter
9/4/2020,684,Noise - Vehicle
9/4/2020,1527,Noise - Residential
9/4/2020,191,Noise - Commercial
9/4/2020,27,Noise - Park
9/4/2020,821,Noise - Street/Sidewalk
9/4/2020,105,Noise
9/4/2020,24,Noise - Helicopter
9/3/2020,100,Noise - Commercial
9/3/2020,8,Noise - Park
9/3/2020,147,Noise
9/3/2020,16,Noise - Helicopter
9/3/2020,260,Noise - Street/Sidewalk
9/3/2020,137,Noise - Vehicle
9/3/2020,1378,Noise - Residential
9/2/2020,1170,Noise - Residential
9/2/2020,238,Noise - Vehicle
9/2/2020,77,Noise - Commercial
9/2/2020,27,Noise - Park
9/2/2020,143,Noise
9/2/2020,4,Noise - Helicopter
9/2/2020,464,Noise - Street/Sidewalk
9/2/2020,2,Noise - House of Worship
9/1/2020,215,Noise - Vehicle
9/1/2020,894,Noise - Residential
9/1/2020,21,Noise - Park
9/1/2020,25,Noise - Helicopter
9/1/2020,132,Noise
9/1/2020,534,Noise - Street/Sidewalk
9/1/2020,123,Noise - Commercial
8/31/2020,384,Noise - Vehicle
8/31/2020,1563,Noise - Residential
8/31/2020,151,Noise - Commercial
8/31/2020,61,Noise - Park
8/31/2020,22,Noise - Helicopter
8/31/2020,148,Noise
8/31/2020,847,Noise - Street/Sidewalk
8/30/2020,575,Noise - Vehicle
8/30/2020,2467,Noise - Residential
8/30/2020,3,Noise - House of Worship
8/30/2020,1946,Noise - Street/Sidewalk
8/30/2020,80,Noise
8/30/2020,30,Noise - Helicopter
8/30/2020,141,Noise - Park
8/30/2020,318,Noise - Commercial
8/29/2020,1906,Noise - Residential
8/29/2020,401,Noise - Vehicle
8/29/2020,49,Noise - Park
8/29/2020,3,Noise - Helicopter
8/29/2020,73,Noise
8/29/2020,1347,Noise - Street/Sidewalk
8/29/2020,261,Noise - Commercial
8/29/2020,1,Noise - House of Worship
8/28/2020,1,Noise - House of Worship
8/28/2020,19,Noise - Helicopter
8/28/2020,88,Noise
8/28/2020,733,Noise - Street/Sidewalk
8/28/2020,23,Noise - Park
8/28/2020,162,Noise - Commercial
