date,uniquekey,Complaint Type
4/28/2020,149,Noise
4/28/2020,24,Noise - Helicopter
4/28/2020,352,Noise - Street/Sidewalk
4/28/2020,7,Noise - Park
4/28/2020,62,Noise - Commercial
4/28/2020,3,Noise - House of Worship
4/28/2020,813,Noise - Residential
4/28/2020,154,Noise - Vehicle
4/27/2020,98,Noise - Street/Sidewalk
4/27/2020,2,Noise - Helicopter
4/27/2020,92,Noise
4/27/2020,7,Noise - Park
4/27/2020,24,Noise - Commercial
4/27/2020,1,Noise - House of Worship
4/27/2020,698,Noise - Residential
4/27/2020,80,Noise - Vehicle
4/26/2020,1,Noise - House of Worship
4/26/2020,34,Noise - Commercial
4/26/2020,43,Noise
4/26/2020,4,Noise - Helicopter
4/26/2020,131,Noise - Street/Sidewalk
4/26/2020,83,Noise - Vehicle
4/26/2020,1079,Noise - Residential
4/25/2020,1230,Noise - Residential
4/25/2020,212,Noise - Vehicle
4/25/2020,53,Noise - Commercial
4/25/2020,411,Noise - Street/Sidewalk
4/25/2020,69,Noise
4/25/2020,14,Noise - Helicopter
4/25/2020,3,Noise - Park
4/25/2020,3,Noise - House of Worship
4/24/2020,1259,Noise - Residential
4/24/2020,74,Noise - Vehicle
4/24/2020,89,Noise
4/24/2020,2,Noise - Helicopter
4/24/2020,119,Noise - Street/Sidewalk
4/24/2020,36,Noise - Commercial
4/24/2020,2,Noise - House of Worship
4/23/2020,4,Noise - House of Worship
4/23/2020,3,Noise - Park
4/23/2020,125,Noise - Street/Sidewalk
4/23/2020,26,Noise - Helicopter
4/23/2020,113,Noise
4/23/2020,42,Noise - Commercial
4/23/2020,89,Noise - Vehicle
4/23/2020,827,Noise - Residential
4/22/2020,2,Noise - House of Worship
4/22/2020,7,Noise - Park
4/22/2020,123,Noise - Street/Sidewalk
4/22/2020,100,Noise
4/22/2020,6,Noise - Helicopter
4/22/2020,25,Noise - Commercial
4/22/2020,96,Noise - Vehicle
4/22/2020,638,Noise - Residential
4/21/2020,19,Noise - Commercial
4/21/2020,7,Noise - Helicopter
4/21/2020,95,Noise
4/21/2020,138,Noise - Street/Sidewalk
4/21/2020,2,Noise - Park
4/21/2020,1,Noise - House of Worship
4/21/2020,1088,Noise - Residential
4/21/2020,103,Noise - Vehicle
4/20/2020,3,Noise - House of Worship
4/20/2020,40,Noise - Commercial
4/20/2020,207,Noise - Street/Sidewalk
4/20/2020,102,Noise
4/20/2020,15,Noise - Helicopter
4/20/2020,8,Noise - Park
4/20/2020,139,Noise - Vehicle
4/20/2020,764,Noise - Residential
4/19/2020,2,Noise - Helicopter
4/19/2020,56,Noise
4/19/2020,270,Noise - Street/Sidewalk
4/19/2020,3,Noise - Park
4/19/2020,50,Noise - Commercial
4/19/2020,3,Noise - House of Worship
4/19/2020,1399,Noise - Residential
4/19/2020,158,Noise - Vehicle
4/18/2020,31,Noise - Commercial
4/18/2020,1,Noise - Helicopter
4/18/2020,48,Noise
4/18/2020,100,Noise - Street/Sidewalk
4/18/2020,4,Noise - Park
4/18/2020,5,Noise - House of Worship
4/18/2020,1130,Noise - Residential
4/18/2020,60,Noise - Vehicle
4/17/2020,82,Noise - Vehicle
4/17/2020,1069,Noise - Residential
4/17/2020,29,Noise - Commercial
4/17/2020,112,Noise - Street/Sidewalk
4/17/2020,3,Noise - Helicopter
4/17/2020,64,Noise
4/17/2020,1,Noise - Park
4/16/2020,81,Noise - Vehicle
4/16/2020,819,Noise - Residential
4/16/2020,2,Noise - House of Worship
4/16/2020,7,Noise - Helicopter
4/16/2020,88,Noise
4/16/2020,89,Noise - Street/Sidewalk
4/16/2020,1,Noise - Park
4/16/2020,29,Noise - Commercial
4/15/2020,3,Noise - House of Worship
4/15/2020,30,Noise - Commercial
4/15/2020,158,Noise - Street/Sidewalk
4/15/2020,23,Noise - Helicopter
4/15/2020,99,Noise
4/15/2020,10,Noise - Park
4/15/2020,94,Noise - Vehicle
4/15/2020,711,Noise - Residential
4/14/2020,258,Noise - Street/Sidewalk
4/14/2020,8,Noise - Helicopter
4/14/2020,98,Noise
4/14/2020,4,Noise - Park
4/14/2020,37,Noise - Commercial
4/14/2020,4,Noise - House of Worship
4/14/2020,812,Noise - Residential
4/14/2020,117,Noise - Vehicle
4/13/2020,91,Noise - Vehicle
4/13/2020,652,Noise - Residential
4/13/2020,2,Noise - Park
4/13/2020,67,Noise
4/13/2020,127,Noise - Street/Sidewalk
4/13/2020,31,Noise - Commercial
4/12/2020,6,Noise - House of Worship
4/12/2020,42,Noise - Commercial
4/12/2020,8,Noise - Park
4/12/2020,305,Noise - Street/Sidewalk
4/12/2020,58,Noise
4/12/2020,8,Noise - Helicopter
4/12/2020,182,Noise - Vehicle
4/12/2020,1502,Noise - Residential
4/11/2020,1095,Noise - Residential
4/11/2020,111,Noise - Vehicle
4/11/2020,52,Noise - Commercial
4/11/2020,5,Noise - Park
4/11/2020,194,Noise - Street/Sidewalk
4/11/2020,8,Noise - Helicopter
4/11/2020,48,Noise
4/11/2020,4,Noise - House of Worship
4/10/2020,51,Noise - Vehicle
4/10/2020,729,Noise - Residential
4/10/2020,1,Noise - House of Worship
4/10/2020,76,Noise - Street/Sidewalk
4/10/2020,60,Noise
4/10/2020,11,Noise - Helicopter
4/10/2020,1,Noise - Park
4/10/2020,25,Noise - Commercial
4/9/2020,80,Noise - Vehicle
4/9/2020,616,Noise - Residential
4/9/2020,1,Noise - House of Worship
4/9/2020,1,Noise - Park
4/9/2020,72,Noise
4/9/2020,10,Noise - Helicopter
4/9/2020,119,Noise - Street/Sidewalk
4/9/2020,31,Noise - Commercial
4/8/2020,2,Noise - House of Worship
4/8/2020,119,Noise
4/8/2020,10,Noise - Helicopter
4/8/2020,226,Noise - Street/Sidewalk
4/8/2020,6,Noise - Park
4/8/2020,25,Noise - Commercial
4/8/2020,120,Noise - Vehicle
4/8/2020,768,Noise - Residential
4/7/2020,769,Noise - Residential
4/7/2020,137,Noise - Vehicle
4/7/2020,14,Noise - Helicopter
4/7/2020,112,Noise
4/7/2020,309,Noise - Street/Sidewalk
4/7/2020,1,Noise - Park
4/7/2020,38,Noise - Commercial
4/7/2020,3,Noise - House of Worship
4/6/2020,798,Noise - Residential
4/6/2020,141,Noise - Vehicle
4/6/2020,46,Noise - Commercial
4/6/2020,6,Noise - Park
4/6/2020,98,Noise
4/6/2020,48,Noise - Helicopter
4/6/2020,298,Noise - Street/Sidewalk
4/6/2020,1,Noise - House of Worship
4/5/2020,7,Noise - Park
4/5/2020,4,Noise - Helicopter
4/5/2020,43,Noise
4/5/2020,257,Noise - Street/Sidewalk
4/5/2020,47,Noise - Commercial
4/5/2020,6,Noise - House of Worship
4/5/2020,949,Noise - Residential
4/5/2020,141,Noise - Vehicle
4/4/2020,108,Noise - Vehicle
4/4/2020,985,Noise - Residential
4/4/2020,3,Noise - House of Worship
4/4/2020,40,Noise - Commercial
4/4/2020,252,Noise - Street/Sidewalk
4/4/2020,62,Noise
4/4/2020,8,Noise - Helicopter
4/4/2020,4,Noise - Park
4/3/2020,35,Noise - Commercial
4/3/2020,7,Noise - Park
4/3/2020,45,Noise
4/3/2020,141,Noise - Street/Sidewalk
4/3/2020,2,Noise - House of Worship
4/3/2020,734,Noise - Residential
4/3/2020,69,Noise - Vehicle
4/2/2020,85,Noise - Vehicle
4/2/2020,665,Noise - Residential
4/2/2020,2,Noise - House of Worship
4/2/2020,161,Noise - Street/Sidewalk
4/2/2020,79,Noise
4/2/2020,3,Noise - Helicopter
4/2/2020,2,Noise - Park
4/2/2020,34,Noise - Commercial
4/1/2020,616,Noise - Residential
4/1/2020,90,Noise - Vehicle
4/1/2020,31,Noise - Commercial
4/1/2020,165,Noise - Street/Sidewalk
4/1/2020,116,Noise
4/1/2020,18,Noise - Helicopter
4/1/2020,3,Noise - Park
3/31/2020,3,Noise - Park
3/31/2020,129,Noise - Street/Sidewalk
3/31/2020,3,Noise - Helicopter
3/31/2020,114,Noise
3/31/2020,14,Noise - Commercial
3/31/2020,1,Noise - House of Worship
3/31/2020,653,Noise - Residential
3/31/2020,81,Noise - Vehicle
3/30/2020,697,Noise - Residential
3/30/2020,109,Noise - Vehicle
3/30/2020,1,Noise - Park
3/30/2020,137,Noise - Street/Sidewalk
3/30/2020,168,Noise
3/30/2020,37,Noise - Commercial
3/30/2020,1,Noise - House of Worship
3/29/2020,68,Noise - Vehicle
3/29/2020,814,Noise - Residential
3/29/2020,5,Noise - House of Worship
3/29/2020,27,Noise - Commercial
3/29/2020,50,Noise
3/29/2020,95,Noise - Street/Sidewalk
3/28/2020,2,Noise - House of Worship
3/28/2020,1,Noise - Park
3/28/2020,89,Noise
3/28/2020,149,Noise - Street/Sidewalk
3/28/2020,31,Noise - Commercial
3/28/2020,55,Noise - Vehicle
3/28/2020,927,Noise - Residential
3/27/2020,2,Noise - House of Worship
3/27/2020,8,Noise - Park
3/27/2020,512,Noise - Street/Sidewalk
3/27/2020,156,Noise
3/27/2020,9,Noise - Helicopter
3/27/2020,63,Noise - Commercial
3/27/2020,166,Noise - Vehicle
3/27/2020,912,Noise - Residential
3/26/2020,120,Noise - Vehicle
3/26/2020,676,Noise - Residential
3/26/2020,1,Noise - House of Worship
3/26/2020,8,Noise - Park
3/26/2020,185,Noise - Street/Sidewalk
3/26/2020,5,Noise - Helicopter
3/26/2020,154,Noise
3/26/2020,32,Noise - Commercial
3/25/2020,2,Noise - House of Worship
3/25/2020,25,Noise - Commercial
3/25/2020,166,Noise
3/25/2020,4,Noise - Helicopter
3/25/2020,83,Noise - Street/Sidewalk
3/25/2020,1,Noise - Park
3/25/2020,77,Noise - Vehicle
3/25/2020,630,Noise - Residential
3/24/2020,186,Noise - Street/Sidewalk
3/24/2020,184,Noise
3/24/2020,8,Noise - Helicopter
3/24/2020,8,Noise - Park
3/24/2020,46,Noise - Commercial
3/24/2020,87,Noise - Vehicle
3/24/2020,608,Noise - Residential
3/23/2020,1,Noise - House of Worship
3/23/2020,37,Noise - Street/Sidewalk
3/23/2020,2,Noise - Helicopter
3/23/2020,153,Noise
3/23/2020,20,Noise - Commercial
3/23/2020,49,Noise - Vehicle
3/23/2020,529,Noise - Residential
3/22/2020,840,Noise - Residential
3/22/2020,76,Noise - Vehicle
3/22/2020,1,Noise - Park
3/22/2020,40,Noise
3/22/2020,4,Noise - Helicopter
3/22/2020,104,Noise - Street/Sidewalk
3/22/2020,40,Noise - Commercial
3/22/2020,3,Noise - House of Worship
3/21/2020,141,Noise - Vehicle
3/21/2020,1027,Noise - Residential
3/21/2020,7,Noise - House of Worship
3/21/2020,10,Noise - Park
3/21/2020,120,Noise
3/21/2020,8,Noise - Helicopter
3/21/2020,290,Noise - Street/Sidewalk
3/21/2020,57,Noise - Commercial
3/20/2020,69,Noise - Commercial
3/20/2020,9,Noise - Park
3/20/2020,415,Noise - Street/Sidewalk
3/20/2020,191,Noise
3/20/2020,2,Noise - Helicopter
3/20/2020,2,Noise - House of Worship
3/20/2020,890,Noise - Residential
3/20/2020,172,Noise - Vehicle
3/19/2020,39,Noise - Commercial
3/19/2020,119,Noise - Street/Sidewalk
3/19/2020,189,Noise
3/19/2020,1,Noise - Helicopter
3/19/2020,7,Noise - Park
3/19/2020,87,Noise - Vehicle
3/19/2020,630,Noise - Residential
3/18/2020,651,Noise - Residential
3/18/2020,96,Noise - Vehicle
3/18/2020,4,Noise - Park
3/18/2020,123,Noise - Street/Sidewalk
3/18/2020,198,Noise
3/18/2020,14,Noise - Helicopter
3/18/2020,33,Noise - Commercial
3/18/2020,1,Noise - House of Worship
3/17/2020,626,Noise - Residential
3/17/2020,92,Noise - Vehicle
3/17/2020,47,Noise - Commercial
3/17/2020,196,Noise
3/17/2020,3,Noise - Helicopter
3/17/2020,152,Noise - Street/Sidewalk
3/17/2020,11,Noise - Park
3/16/2020,643,Noise - Residential
3/16/2020,59,Noise - Vehicle
3/16/2020,52,Noise - Commercial
3/16/2020,16,Noise - Helicopter
3/16/2020,124,Noise
3/16/2020,85,Noise - Street/Sidewalk
3/15/2020,174,Noise - Vehicle
3/15/2020,938,Noise - Residential
3/15/2020,3,Noise - House of Worship
3/15/2020,236,Noise - Street/Sidewalk
3/15/2020,79,Noise
3/15/2020,16,Noise - Helicopter
3/15/2020,9,Noise - Park
3/15/2020,140,Noise - Commercial
3/14/2020,1026,Noise - Residential
3/14/2020,128,Noise - Vehicle
3/14/2020,129,Noise - Commercial
3/14/2020,203,Noise - Street/Sidewalk
3/14/2020,140,Noise
3/14/2020,28,Noise - Helicopter
3/14/2020,6,Noise - Park
3/14/2020,1,Noise - House of Worship
3/13/2020,111,Noise - Commercial
3/13/2020,213,Noise - Street/Sidewalk
3/13/2020,111,Noise
3/13/2020,15,Noise - Helicopter
3/13/2020,2,Noise - Park
3/13/2020,662,Noise - Residential
3/13/2020,141,Noise - Vehicle
3/12/2020,66,Noise - Vehicle
3/12/2020,500,Noise - Residential
3/12/2020,5,Noise - Park
3/12/2020,98,Noise - Street/Sidewalk
3/12/2020,12,Noise - Helicopter
3/12/2020,152,Noise
3/12/2020,44,Noise - Commercial
3/11/2020,525,Noise - Residential
3/11/2020,110,Noise - Vehicle
3/11/2020,84,Noise - Commercial
3/11/2020,134,Noise - Street/Sidewalk
3/11/2020,165,Noise
3/11/2020,12,Noise - Helicopter
3/11/2020,11,Noise - Park
3/10/2020,125,Noise - Vehicle
3/10/2020,613,Noise - Residential
3/10/2020,1,Noise - House of Worship
3/10/2020,216,Noise - Street/Sidewalk
3/10/2020,194,Noise
3/10/2020,13,Noise - Helicopter
3/10/2020,5,Noise - Park
3/10/2020,88,Noise - Commercial
3/9/2020,148,Noise - Vehicle
3/9/2020,644,Noise - Residential
3/9/2020,1,Noise - House of Worship
3/9/2020,23,Noise - Helicopter
3/9/2020,138,Noise
3/9/2020,362,Noise - Street/Sidewalk
3/9/2020,19,Noise - Park
3/9/2020,95,Noise - Commercial
3/8/2020,197,Noise - Street/Sidewalk
3/8/2020,89,Noise
3/8/2020,19,Noise - Helicopter
3/8/2020,9,Noise - Park
3/8/2020,185,Noise - Commercial
3/8/2020,3,Noise - House of Worship
3/8/2020,994,Noise - Residential
3/8/2020,186,Noise - Vehicle
3/7/2020,2,Noise - House of Worship
3/7/2020,4,Noise - Park
3/7/2020,22,Noise - Helicopter
3/7/2020,136,Noise
3/7/2020,188,Noise - Street/Sidewalk
3/7/2020,175,Noise - Commercial
3/7/2020,130,Noise - Vehicle
3/7/2020,900,Noise - Residential
3/6/2020,3,Noise - Park
3/6/2020,16,Noise - Helicopter
3/6/2020,126,Noise
3/6/2020,64,Noise - Street/Sidewalk
3/6/2020,97,Noise - Commercial
3/6/2020,574,Noise - Residential
3/6/2020,82,Noise - Vehicle
3/5/2020,86,Noise - Vehicle
3/5/2020,482,Noise - Residential
3/5/2020,97,Noise - Commercial
3/5/2020,9,Noise - Park
3/5/2020,106,Noise - Street/Sidewalk
3/5/2020,29,Noise - Helicopter
3/5/2020,167,Noise
3/4/2020,359,Noise - Residential
3/4/2020,105,Noise - Vehicle
3/4/2020,87,Noise - Commercial
3/4/2020,21,Noise - Helicopter
3/4/2020,140,Noise
3/4/2020,81,Noise - Street/Sidewalk
3/4/2020,1,Noise - Park
3/3/2020,430,Noise - Residential
3/3/2020,79,Noise - Vehicle
3/3/2020,56,Noise - Commercial
3/3/2020,73,Noise - Street/Sidewalk
3/3/2020,146,Noise
3/3/2020,10,Noise - Helicopter
3/3/2020,1,Noise - Park
3/3/2020,4,Noise - House of Worship
3/2/2020,99,Noise - Vehicle
3/2/2020,427,Noise - Residential
3/2/2020,73,Noise - Commercial
3/2/2020,13,Noise - Helicopter
3/2/2020,116,Noise
3/2/2020,109,Noise - Street/Sidewalk
3/2/2020,3,Noise - Park
3/1/2020,3,Noise - House of Worship
3/1/2020,129,Noise - Commercial
3/1/2020,3,Noise - Park
3/1/2020,100,Noise - Street/Sidewalk
3/1/2020,43,Noise - Helicopter
3/1/2020,75,Noise
3/1/2020,99,Noise - Vehicle
3/1/2020,848,Noise - Residential
2/29/2020,148,Noise - Commercial
2/29/2020,2,Noise - Park
2/29/2020,27,Noise - Helicopter
2/29/2020,124,Noise
2/29/2020,83,Noise - Street/Sidewalk
2/29/2020,82,Noise - Vehicle
2/29/2020,964,Noise - Residential
2/28/2020,72,Noise - Street/Sidewalk
2/28/2020,112,Noise
2/28/2020,11,Noise - Helicopter
2/28/2020,3,Noise - Park
2/28/2020,98,Noise - Commercial
2/28/2020,61,Noise - Vehicle
2/28/2020,598,Noise - Residential
2/27/2020,55,Noise - Commercial
2/27/2020,1,Noise - Helicopter
2/27/2020,117,Noise
2/27/2020,31,Noise - Street/Sidewalk
2/27/2020,1,Noise - House of Worship
2/27/2020,343,Noise - Residential
2/27/2020,57,Noise - Vehicle
2/26/2020,44,Noise - Vehicle
2/26/2020,252,Noise - Residential
2/26/2020,35,Noise - Street/Sidewalk
2/26/2020,103,Noise
2/26/2020,1,Noise - Helicopter
2/26/2020,35,Noise - Commercial
2/25/2020,55,Noise - Commercial
2/25/2020,72,Noise - Street/Sidewalk
2/25/2020,12,Noise - Helicopter
2/25/2020,148,Noise
2/25/2020,78,Noise - Vehicle
2/25/2020,483,Noise - Residential
2/24/2020,1,Noise - House of Worship
2/24/2020,57,Noise - Commercial
2/24/2020,18,Noise - Helicopter
2/24/2020,145,Noise
2/24/2020,128,Noise - Street/Sidewalk
2/24/2020,3,Noise - Park
2/24/2020,104,Noise - Vehicle
2/24/2020,457,Noise - Residential
2/23/2020,126,Noise - Vehicle
2/23/2020,976,Noise - Residential
2/23/2020,2,Noise - House of Worship
2/23/2020,149,Noise - Commercial
2/23/2020,18,Noise - Helicopter
2/23/2020,78,Noise
2/23/2020,190,Noise - Street/Sidewalk
2/23/2020,3,Noise - Park
2/22/2020,91,Noise - Vehicle
2/22/2020,908,Noise - Residential
2/22/2020,6,Noise - House of Worship
2/22/2020,20,Noise - Helicopter
2/22/2020,115,Noise
2/22/2020,150,Noise - Street/Sidewalk
2/22/2020,165,Noise - Commercial
2/21/2020,90,Noise - Commercial
2/21/2020,118,Noise
2/21/2020,22,Noise - Helicopter
2/21/2020,53,Noise - Street/Sidewalk
2/21/2020,1,Noise - Park
2/21/2020,577,Noise - Residential
2/21/2020,57,Noise - Vehicle
2/20/2020,71,Noise - Commercial
2/20/2020,121,Noise
2/20/2020,30,Noise - Helicopter
2/20/2020,52,Noise - Street/Sidewalk
2/20/2020,1,Noise - Park
2/20/2020,1,Noise - House of Worship
2/20/2020,467,Noise - Residential
2/20/2020,56,Noise - Vehicle
2/19/2020,1,Noise - House of Worship
2/19/2020,68,Noise - Commercial
2/19/2020,2,Noise - Park
2/19/2020,164,Noise
2/19/2020,41,Noise - Helicopter
2/19/2020,94,Noise - Street/Sidewalk
2/19/2020,74,Noise - Vehicle
2/19/2020,472,Noise - Residential
2/18/2020,1,Noise - Park
2/18/2020,60,Noise - Street/Sidewalk
2/18/2020,5,Noise - Helicopter
2/18/2020,137,Noise
2/18/2020,69,Noise - Commercial
2/18/2020,480,Noise - Residential
2/18/2020,68,Noise - Vehicle
2/17/2020,79,Noise - Vehicle
2/17/2020,602,Noise - Residential
2/17/2020,2,Noise - House of Worship
2/17/2020,95,Noise - Commercial
2/17/2020,109,Noise - Street/Sidewalk
2/17/2020,142,Noise
2/17/2020,32,Noise - Helicopter
2/17/2020,2,Noise - Park
2/16/2020,164,Noise - Commercial
2/16/2020,81,Noise - Street/Sidewalk
2/16/2020,76,Noise
2/16/2020,35,Noise - Helicopter
2/16/2020,6,Noise - Park
2/16/2020,4,Noise - House of Worship
2/16/2020,913,Noise - Residential
2/16/2020,83,Noise - Vehicle
2/15/2020,973,Noise - Residential
2/15/2020,59,Noise - Vehicle
2/15/2020,114,Noise
2/15/2020,39,Noise - Helicopter
2/15/2020,60,Noise - Street/Sidewalk
2/15/2020,153,Noise - Commercial
2/15/2020,3,Noise - House of Worship
2/14/2020,616,Noise - Residential
2/14/2020,87,Noise - Vehicle
2/14/2020,1,Noise - Park
2/14/2020,97,Noise
2/14/2020,43,Noise - Helicopter
2/14/2020,44,Noise - Street/Sidewalk
2/14/2020,90,Noise - Commercial
2/13/2020,68,Noise - Commercial
2/13/2020,1,Noise - Park
2/13/2020,121,Noise
2/13/2020,1,Noise - Helicopter
2/13/2020,65,Noise - Street/Sidewalk
2/13/2020,1,Noise - House of Worship
2/13/2020,450,Noise - Residential
2/13/2020,57,Noise - Vehicle
2/12/2020,424,Noise - Residential
2/12/2020,68,Noise - Vehicle
2/12/2020,64,Noise - Commercial
2/12/2020,1,Noise - Park
2/12/2020,54,Noise - Helicopter
2/12/2020,123,Noise
2/12/2020,81,Noise - Street/Sidewalk
2/11/2020,136,Noise
2/11/2020,4,Noise - Helicopter
2/11/2020,65,Noise - Street/Sidewalk
2/11/2020,1,Noise - Park
2/11/2020,52,Noise - Commercial
2/11/2020,67,Noise - Vehicle
2/11/2020,444,Noise - Residential
2/10/2020,437,Noise - Residential
2/10/2020,74,Noise - Vehicle
2/10/2020,58,Noise - Commercial
2/10/2020,65,Noise - Street/Sidewalk
2/10/2020,113,Noise
2/10/2020,4,Noise - Helicopter
2/10/2020,1,Noise - House of Worship
2/9/2020,937,Noise - Residential
2/9/2020,97,Noise - Vehicle
2/9/2020,74,Noise
2/9/2020,32,Noise - Helicopter
2/9/2020,104,Noise - Street/Sidewalk
2/9/2020,5,Noise - Park
2/9/2020,144,Noise - Commercial
2/9/2020,2,Noise - House of Worship
2/8/2020,896,Noise - Residential
2/8/2020,56,Noise - Vehicle
2/8/2020,103,Noise
2/8/2020,42,Noise - Helicopter
2/8/2020,102,Noise - Street/Sidewalk
2/8/2020,2,Noise - Park
2/8/2020,172,Noise - Commercial
2/8/2020,1,Noise - House of Worship
2/7/2020,70,Noise - Vehicle
2/7/2020,496,Noise - Residential
2/7/2020,94,Noise - Commercial
2/7/2020,45,Noise - Street/Sidewalk
2/7/2020,107,Noise
2/7/2020,1,Noise - Helicopter
2/6/2020,1,Noise - Park
2/6/2020,114,Noise
2/6/2020,50,Noise - Street/Sidewalk
2/6/2020,89,Noise - Commercial
2/6/2020,405,Noise - Residential
2/6/2020,52,Noise - Vehicle
2/5/2020,20,Noise - Helicopter
2/5/2020,161,Noise
2/5/2020,74,Noise - Street/Sidewalk
2/5/2020,49,Noise - Commercial
2/5/2020,1,Noise - House of Worship
2/5/2020,412,Noise - Residential
2/5/2020,54,Noise - Vehicle
2/4/2020,390,Noise - Residential
2/4/2020,96,Noise - Vehicle
2/4/2020,90,Noise - Street/Sidewalk
2/4/2020,15,Noise - Helicopter
2/4/2020,131,Noise
2/4/2020,3,Noise - Park
2/4/2020,56,Noise - Commercial
2/4/2020,1,Noise - House of Worship
2/3/2020,61,Noise - Commercial
2/3/2020,3,Noise - Park
2/3/2020,144,Noise - Street/Sidewalk
2/3/2020,30,Noise - Helicopter
2/3/2020,154,Noise
2/3/2020,463,Noise - Residential
2/3/2020,118,Noise - Vehicle
2/2/2020,123,Noise - Street/Sidewalk
2/2/2020,28,Noise - Helicopter
2/2/2020,53,Noise
2/2/2020,2,Noise - Park
2/2/2020,147,Noise - Commercial
2/2/2020,1,Noise - House of Worship
2/2/2020,895,Noise - Residential
2/2/2020,61,Noise - Vehicle
2/1/2020,158,Noise - Commercial
2/1/2020,5,Noise - Park
2/1/2020,148,Noise - Street/Sidewalk
2/1/2020,121,Noise
2/1/2020,2,Noise - Helicopter
2/1/2020,5,Noise - House of Worship
2/1/2020,982,Noise - Residential
2/1/2020,95,Noise - Vehicle
1/31/2020,1,Noise - House of Worship
1/31/2020,1,Noise - Park
1/31/2020,49,Noise - Helicopter
1/31/2020,131,Noise
1/31/2020,91,Noise - Street/Sidewalk
1/31/2020,91,Noise - Commercial
1/31/2020,104,Noise - Vehicle
1/31/2020,547,Noise - Residential
1/30/2020,81,Noise - Commercial
1/30/2020,1,Noise - Park
1/30/2020,70,Noise - Street/Sidewalk
1/30/2020,16,Noise - Helicopter
1/30/2020,140,Noise
1/30/2020,395,Noise - Residential
1/30/2020,51,Noise - Vehicle
1/29/2020,165,Noise
1/29/2020,26,Noise - Helicopter
1/29/2020,65,Noise - Street/Sidewalk
1/29/2020,1,Noise - Park
1/29/2020,73,Noise - Commercial
1/29/2020,1,Noise - House of Worship
1/29/2020,396,Noise - Residential
1/29/2020,52,Noise - Vehicle
1/28/2020,61,Noise - Vehicle
1/28/2020,445,Noise - Residential
1/28/2020,1,Noise - House of Worship
1/28/2020,45,Noise - Commercial
1/28/2020,9,Noise - Helicopter
1/28/2020,180,Noise
1/28/2020,86,Noise - Street/Sidewalk
1/28/2020,2,Noise - Park
1/27/2020,50,Noise - Commercial
1/27/2020,2,Noise - Park
1/27/2020,79,Noise - Street/Sidewalk
1/27/2020,10,Noise - Helicopter
1/27/2020,120,Noise
1/27/2020,73,Noise - Vehicle
1/27/2020,445,Noise - Residential
1/26/2020,887,Noise - Residential
1/26/2020,92,Noise - Vehicle
1/26/2020,102,Noise
1/26/2020,44,Noise - Helicopter
1/26/2020,114,Noise - Street/Sidewalk
1/26/2020,3,Noise - Park
1/26/2020,188,Noise - Commercial
1/26/2020,5,Noise - House of Worship
1/25/2020,1,Noise - House of Worship
1/25/2020,175,Noise - Commercial
1/25/2020,1,Noise - Park
1/25/2020,87,Noise
1/25/2020,16,Noise - Helicopter
1/25/2020,81,Noise - Street/Sidewalk
1/25/2020,83,Noise - Vehicle
1/25/2020,850,Noise - Residential
1/24/2020,85,Noise - Commercial
1/24/2020,98,Noise - Street/Sidewalk
1/24/2020,37,Noise - Helicopter
1/24/2020,126,Noise
1/24/2020,2,Noise - Park
1/24/2020,1,Noise - House of Worship
1/24/2020,537,Noise - Residential
1/24/2020,62,Noise - Vehicle
1/23/2020,62,Noise - Vehicle
1/23/2020,452,Noise - Residential
1/23/2020,4,Noise - Park
1/23/2020,164,Noise
1/23/2020,33,Noise - Helicopter
1/23/2020,80,Noise - Street/Sidewalk
1/23/2020,80,Noise - Commercial
1/22/2020,4,Noise - Park
1/22/2020,133,Noise - Street/Sidewalk
1/22/2020,139,Noise
1/22/2020,33,Noise - Helicopter
1/22/2020,66,Noise - Commercial
1/22/2020,71,Noise - Vehicle
1/22/2020,422,Noise - Residential
1/21/2020,433,Noise - Residential
1/21/2020,74,Noise - Vehicle
1/21/2020,68,Noise - Commercial
1/21/2020,1,Noise - Park
1/21/2020,60,Noise - Street/Sidewalk
1/21/2020,145,Noise
1/21/2020,18,Noise - Helicopter
1/20/2020,77,Noise - Commercial
1/20/2020,1,Noise - Park
1/20/2020,32,Noise - Helicopter
1/20/2020,138,Noise
1/20/2020,98,Noise - Street/Sidewalk
1/20/2020,519,Noise - Residential
1/20/2020,57,Noise - Vehicle
1/19/2020,57,Noise - Vehicle
1/19/2020,882,Noise - Residential
1/19/2020,2,Noise - House of Worship
1/19/2020,84,Noise - Street/Sidewalk
1/19/2020,18,Noise - Helicopter
1/19/2020,51,Noise
1/19/2020,2,Noise - Park
1/19/2020,137,Noise - Commercial
1/18/2020,844,Noise - Residential
1/18/2020,60,Noise - Vehicle
1/18/2020,128,Noise - Commercial
1/18/2020,96,Noise
1/18/2020,5,Noise - Helicopter
1/18/2020,56,Noise - Street/Sidewalk
1/18/2020,1,Noise - Park
1/17/2020,567,Noise - Residential
1/17/2020,74,Noise - Vehicle
1/17/2020,38,Noise - Helicopter
1/17/2020,97,Noise
1/17/2020,93,Noise - Street/Sidewalk
1/17/2020,80,Noise - Commercial
1/16/2020,55,Noise - Vehicle
1/16/2020,456,Noise - Residential
1/16/2020,1,Noise - House of Worship
1/16/2020,6,Noise - Helicopter
1/16/2020,141,Noise
1/16/2020,83,Noise - Street/Sidewalk
1/16/2020,3,Noise - Park
